dr3_source_id,tm_tdb_bjd,period_d,radius_star_radius,semi_major_axis_stellar_radius,inclination_deg,e,u05,u1,u15,u2
990291507088739072,2455682.20389,4.12502,0.08589,7.68,88.7,0,0.5,0.1,0.1,-0.1
990291507088739072,2460742.3,0.5156275,0.08589,1.92,88.7,0,0.5,0.1,0.1,-0.1
